image,PSNR_dB,SSIM,LPIPS
000327,31.20096400493628,0.9067390223610624,0.1046895980834961
000328,31.716061387069928,0.7306345560195446,0.3673061430454254
000329,28.130677388297315,0.8286331419830322,0.1993633210659027
000330,28.469348294008626,0.8324919588031768,0.2088569700717926
000331,28.39916966138147,0.8283274868609906,0.2073855549097061
000332,33.34174858180664,0.9389356514602304,0.0818599015474319
000333,26.096658106347043,0.7645622238761103,0.1549447476863861
000334,26.494057787764312,0.7731922761389614,0.184549331665039
000335,26.15600340617169,0.7618806460732855,0.1774668246507644
000336,29.979641912175826,0.8933618467634041,0.161566823720932
000337,36.37780500074212,0.9347641497262716,0.1222103908658027
000338,33.89159124917355,0.9098633213672638,0.216318592429161
000339,34.39172488055022,0.9130609896394014,0.1890017837285995
000340,29.055333321264197,0.7377421079328126,0.3559195101261139
000341,30.757904850865945,0.8532849583173543,0.3864873647689819
000342,30.27446947794736,0.8367289652795941,0.3509643375873565
000343,29.82232692220032,0.8288835136477053,0.312706708908081
000344,27.45484508765085,0.7587096784381261,0.2799426317214966
000345,27.388679216141405,0.778074130494008,0.2738038599491119
000346,28.0134683359599,0.8152458507588664,0.2340618073940277
000347,27.830414089262295,0.8089419282669716,0.2453325092792511
000348,29.00747208491063,0.869123623413261,0.1421045511960983
000349,26.501833013574327,0.7185793588672122,0.1585416942834854
000350,27.11329511231339,0.7434607716325522,0.1703883409500122
000351,26.22697703372593,0.7171913420767486,0.1799890547990799
000352,10.964398125875096,0.3191430095503365,0.2789516746997833
000353,16.26452750509226,0.3288769372047507,0.3094736039638519
000354,15.12502041697234,0.3220076328230458,0.3064544796943664
000355,14.99940435634958,0.324623217338038,0.2940617799758911
000356,24.547260631010133,0.709331071243504,0.2504186928272247
000357,29.22458202483505,0.801202696671471,0.2562853991985321
000358,26.931388920931457,0.7801884134893418,0.2084761708974838
000359,28.322318297011638,0.7990345944046453,0.2374598979949951
000360,23.270603322204003,0.6826177577558048,0.2980132102966308
000361,34.37691869313024,0.8517243190462999,0.2806072235107422
000362,30.206744329114585,0.7436708516389131,0.3522785305976867
000363,29.865154490538387,0.7347924362982213,0.2856515944004059
000364,24.80331023969189,0.7450102865525102,0.4112996757030487
000365,29.290671683560426,0.8558336326298863,0.1431653201580047
000366,29.044881977574445,0.8511834392451048,0.153140589594841
000367,29.19447858828185,0.8547451651524305,0.1479886323213577
000368,28.626873135461413,0.7777749732703599,0.2055728882551193
000369,25.111888438918264,0.7031981648087092,0.2840383052825928
000370,23.31818955052819,0.6966961734187042,0.278501957654953
000371,24.175632594018317,0.6895559788165688,0.2418550997972488
000372,30.60455580301865,0.6550489553730487,0.4948903322219848
000373,20.883339624124165,0.6278535459318407,0.2134980261325836
000374,20.59121575836796,0.6046173686438394,0.2101416885852813
